Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Ball_Bonus
2019-01-12,13,29,32,43,49,55,26
2019-01-16,1,12,44,48,54,55,8
2019-01-19,11,15,17,22,31,52,45
2019-01-23,5,27,30,41,45,58,38
2019-01-26,29,40,42,47,51,56,45
2019-01-30,7,22,31,43,47,58,2
2019-02-02,1,6,41,53,55,59,20
2019-02-06,3,16,24,41,44,53,15
2019-02-09,25,27,31,36,38,47,12
2019-02-13,4,8,26,31,42,45,55
2019-02-16,11,15,18,43,46,51,12
2019-02-20,3,11,17,33,41,51,48
2019-02-23,6,9,38,40,42,48,57
2019-02-27,19,20,22,31,51,54,16
2019-03-02,4,8,16,19,33,45,54
2019-03-06,2,12,15,43,46,53,17
2019-03-09,22,27,35,40,46,52,2
2019-03-13,1,11,29,40,46,48,17
2019-03-16,6,26,32,37,42,59,38
2019-03-20,2,19,35,53,56,58,12
2019-03-23,6,26,30,50,52,59,27
2019-03-27,13,18,25,35,39,50,21
2019-03-30,3,27,35,45,54,55,24
2019-04-03,5,9,17,26,35,52,44
2019-04-06,5,8,22,33,36,43,21
2019-04-10,20,22,36,42,48,49,30
2019-04-13,4,10,15,24,37,38,30
2019-04-17,8,23,28,42,43,51,52
2019-04-20,7,8,11,17,34,54,4
2019-04-24,22,29,35,41,43,51,42
2019-04-27,1,7,26,34,52,53,10
2019-05-01,10,12,23,29,35,57,9
2019-05-04,16,17,35,39,40,55,41
2019-05-08,16,19,31,35,45,56,59
2019-05-11,13,14,19,45,49,55,24
2019-05-15,8,11,18,39,44,50,23
2019-05-18,7,22,23,26,31,54,3
2019-05-22,7,27,31,36,37,50,18
2019-05-25,5,9,26,35,43,54,24
2019-05-29,3,15,27,32,46,53,57
2019-06-01,8,26,36,39,40,47,42
2019-06-05,11,20,23,32,33,56,25
2019-06-08,12,13,22,37,42,55,43
2019-06-12,6,16,34,36,37,53,50
2019-06-15,7,40,42,47,52,54,29
2019-06-19,22,26,31,39,47,55,35
2019-06-22,6,9,17,32,44,57,11
2019-06-26,5,7,9,24,32,44,38
2019-06-29,11,32,43,44,47,52,27
2019-07-03,10,20,27,29,38,52,57
2019-07-06,24,30,44,50,56,57,9
2019-07-10,4,10,11,17,53,54,6
2019-07-13,18,25,29,32,35,58,12
2019-07-17,5,8,40,41,43,45,23
2019-07-20,14,18,23,28,36,37,32
2019-07-24,2,4,17,28,37,45,22
2019-07-27,14,19,30,45,48,58,3
2019-07-31,9,18,20,42,43,46,30
2019-08-03,8,30,34,44,45,57,31
2019-08-07,7,11,36,44,52,58,31
2019-08-10,5,8,9,17,23,29,49
2019-08-14,14,16,24,28,30,53,23
2019-08-17,6,9,10,41,46,58,45
2019-08-21,11,14,26,51,53,58,30
2019-08-24,27,36,39,45,46,55,38
2019-08-28,1,40,41,49,52,57,43
2019-08-31,5,10,16,26,41,58,15
2019-09-04,11,13,32,40,45,49,39
2019-09-07,3,13,27,30,32,37,8
2019-09-11,4,9,26,35,38,53,30
2019-09-14,6,10,14,19,26,43,28
2019-09-18,1,25,28,34,39,57,50
2019-09-21,18,23,32,33,34,41,54
2019-09-25,3,4,16,39,43,52,47
2019-09-28,2,19,21,23,29,42,26
2019-10-02,13,15,20,37,42,47,49
2019-10-05,4,8,12,13,32,34,58
2019-10-09,14,22,40,44,55,58,12
2019-10-12,23,27,30,36,40,42,58
2019-10-16,4,5,18,29,40,47,57
2019-10-19,8,15,17,31,33,52,13
2019-10-23,5,29,30,39,53,58,19
2019-10-26,16,23,26,38,56,59,32
2019-10-30,2,8,19,41,51,56,23
2019-11-02,13,16,28,34,41,56,40
2019-11-06,17,22,25,27,32,35,5
2019-11-09,2,11,16,46,51,58,31
2019-11-13,1,2,7,9,44,55,39
2019-11-16,2,10,25,51,56,59,17
2019-11-20,8,17,31,47,49,52,12
2019-11-23,23,25,28,38,47,58,31
2019-11-27,7,16,22,39,48,55,50
2019-11-30,8,16,24,36,40,57,51
2019-12-04,9,13,21,25,28,31,1
2019-12-07,6,20,27,34,35,57,39
2019-12-11,7,14,16,33,35,47,25
2019-12-14,2,21,23,32,44,49,56
2019-12-18,13,15,36,44,50,56,45
2019-12-21,12,27,33,36,42,45,26
2019-12-25,5,10,11,45,54,58,40
2019-12-28,1,2,12,23,41,55,9
2020-01-01,13,20,30,38,50,55,5
2020-01-04,3,13,14,34,50,51,11
2020-01-08,2,23,42,47,50,59,32
2020-01-11,27,28,46,51,55,57,14
2020-01-15,15,25,50,52,54,55,28
2020-01-18,14,29,35,41,42,55,11
2020-01-22,19,23,25,29,30,36,14
2020-01-25,18,30,33,39,54,55,21
2020-01-29,7,23,40,42,47,59,58
2020-02-01,7,42,44,47,58,59,52
2020-02-05,20,31,39,42,43,48,1
2020-02-08,8,35,42,43,54,59,21
2020-02-12,2,3,5,27,51,54,6
2020-02-15,10,11,33,41,45,54,18
2020-02-19,7,18,21,27,28,48,10
2020-02-22,21,23,25,27,36,47,17
